filename,dataset,true_label,anomaly_score
001.png,train,good,0.0005560084246098995
002.png,train,good,0.0005536818644031882
003.png,train,good,0.00059029262047261
004.png,train,good,0.0006981689366512001
005.png,train,good,0.0005908121820539236
006.png,train,good,0.0005677976296283305
007.png,train,good,0.00044094654731452465
008.png,train,good,0.0005202600150369108
009.png,train,good,0.0007303046295419335
010.png,train,good,0.0006796879461035132
011.png,train,good,0.0005537283141165972
012.png,train,good,0.00047977123176679015
013.png,train,good,0.0005732750287279487
014.png,train,good,0.0005593831883743405
015.png,train,good,0.0006121663609519601
016.png,train,good,0.0003707911819219589
017.png,train,good,0.0022785221226513386
018.png,train,good,0.0006395140662789345
019.png,train,good,0.00034922498161904514
020.png,train,good,0.0007348930812440813
021.png,train,good,0.0006138634635135531
022.png,train,good,0.0006054730620235205
023.png,train,good,0.00045995027176104486
024.png,train,good,0.0009213967132382095
025.png,train,good,0.00046182790538296103
026.png,train,good,0.0005442889523692429
027.png,train,good,0.0005289396503940225
028.png,train,good,0.0006556473672389984
029.png,train,good,0.0003412809455767274
030.png,train,good,0.0006699521909467876
031.png,train,good,0.0007355255074799061
032.png,train,good,0.0004871093842666596
033.png,train,good,0.0004758875002153218
034.png,train,good,0.0005450036842375994
035.png,train,good,0.0006574839353561401
036.png,train,good,0.0005366694531403482
037.png,train,good,0.0006778144161216915
038.png,train,good,0.0005339020863175392
039.png,train,good,0.0006670054863207042
040.png,train,good,0.0006202788790687919
041.png,train,good,0.0004553282051347196
042.png,train,good,0.00054986058967188
043.png,train,good,0.0014156808611005545
044.png,train,good,0.0016074543818831444
045.png,train,good,0.0009801818523555994
046.png,train,good,0.0004914593882858753
047.png,train,good,0.001189597649499774
048.png,train,good,0.0005372241139411926
049.png,train,good,0.0006624080124311149
050.png,train,good,0.0005036304937675595
051.png,train,good,0.000507908349391073
052.png,train,good,0.001410607248544693
053.png,train,good,0.0004982157843187451
054.png,train,good,0.00073987030191347
055.png,train,good,0.0005066449521109462
056.png,train,good,0.0004695213574450463
057.png,train,good,0.0008202246390283108
058.png,train,good,0.0005362769006751478
059.png,train,good,0.0009876176482066512
060.png,train,good,0.0005630892119370401
061.png,train,good,0.0004577536601573229
062.png,train,good,0.00092262530233711
063.png,train,good,0.0006393871735781431
064.png,train,good,0.001206052489578724
065.png,train,good,0.00041998428059741855
066.png,train,good,0.000687569787260145
067.png,train,good,0.0006971069378778338
068.png,train,good,0.0005484643043018878
069.png,train,good,0.0008809680002741516
070.png,train,good,0.0004352343385107815
071.png,train,good,0.00047536552301608026
072.png,train,good,0.000459133880212903
073.png,train,good,0.0006417580880224705
074.png,train,good,0.0005130223580636084
075.png,train,good,0.0004549287259578705
076.png,train,good,0.0005247949156910181
077.png,train,good,0.00041872874135151505
078.png,train,good,0.001249282038770616
079.png,train,good,0.0005168743664398789
080.png,train,good,0.0006707193097099662
081.png,train,good,0.0023667793720960617
082.png,train,good,0.0006765228463336825
083.png,train,good,0.0007040181080810726
084.png,train,good,0.0003228229470551014
085.png,train,good,0.0007237273966893554
086.png,train,good,0.0006195313762873411
087.png,train,good,0.0008291187696158886
088.png,train,good,0.0006908880895934999
089.png,train,good,0.0004048237460665405
090.png,train,good,0.001673575839959085
091.png,train,good,0.00038698106072843075
092.png,train,good,0.0005898465751670301
093.png,train,good,0.0004923391388729215
094.png,train,good,0.0007284152670763433
095.png,train,good,0.00039340960211120546
096.png,train,good,0.0007123110699467361
097.png,train,good,0.00041583701386116445
098.png,train,good,0.0005899383686482906
099.png,train,good,0.0005640147137455642
100.png,train,good,0.0006255814805626869
101.png,train,good,0.0005831564194522798
102.png,train,good,0.0005835654446855187
103.png,train,good,0.0005450730677694082
104.png,train,good,0.00027734466129913926
105.png,train,good,0.0013290697243064642
106.png,train,good,0.00048541161231696606
107.png,train,good,0.0003317294758744538
108.png,train,good,0.0004959978978149593
109.png,train,good,0.0008071347838267684
110.png,train,good,0.0005235783755779266
111.png,train,good,0.0006154890870675445
112.png,train,good,0.0005029942840337753
113.png,train,good,0.0006490024970844388
114.png,train,good,0.0007222676067613065
115.png,train,good,0.0005226658540777862
116.png,train,good,0.00039630275568924844
117.png,train,good,0.0006241812370717525
118.png,train,good,0.0005584583850577474
119.png,train,good,0.00046156658208929
120.png,train,good,0.0006028873613104224
121.png,train,good,0.000692650442942977
122.png,train,good,0.0009047837811522186
123.png,train,good,0.0006501878378912807
124.png,train,good,0.0004277768894098699
125.png,train,good,0.00044164195423945785
126.png,train,good,0.0007868960383348167
127.png,train,good,0.0004241076239850372
128.png,train,good,0.0006153894355520606
129.png,train,good,0.0006073305266909301
130.png,train,good,0.0004851262492593378
131.png,train,good,0.0012813255889341235
132.png,train,good,0.0006345508736558259
133.png,train,good,0.0006764261052012444
134.png,train,good,0.0004530027508735657
135.png,train,good,0.0006338743260130286
136.png,train,good,0.0006582152564078569
137.png,train,good,0.0004886212991550565
138.png,train,good,0.0008152846130542457
139.png,train,good,0.0006427491898648441
140.png,train,good,0.0005059351096861064
141.png,train,good,0.00044752610847353935
142.png,train,good,0.0011002239771187305
143.png,train,good,0.0008629296789877117
144.png,train,good,0.00042482090066187084
145.png,train,good,0.0005537157412618399
146.png,train,good,0.0007050767890177667
147.png,train,good,0.0004889328847639263
148.png,train,good,0.0008352802833542228
149.png,train,good,0.0011636143317446113
150.png,train,good,0.0007858690805733204
151.png,train,good,0.0005818217759951949
152.png,train,good,0.00033758446807041764
153.png,train,good,0.000541107845492661
154.png,train,good,0.0010252089705318213
155.png,train,good,0.0005151109071448445
156.png,train,good,0.00045453006168827415
157.png,train,good,0.0004277814587112516
158.png,train,good,0.001312300912104547
159.png,train,good,0.0005449063610285521
160.png,train,good,0.0006823489675298333
161.png,train,good,0.0006278465152718127
162.png,train,good,0.0003536472504492849
163.png,train,good,0.0006100259488448501
164.png,train,good,0.001007943064905703
165.png,train,good,0.0005413264152593911
166.png,train,good,0.0005911948392167687
167.png,train,good,0.0003669066936708987
168.png,train,good,0.00042188639054074883
169.png,train,good,0.0004301602893974632
170.png,train,good,0.0008136473479680717
171.png,train,good,0.0006871458026580513
172.png,train,good,0.0007337071001529694
173.png,train,good,0.0005191154778003693
174.png,train,good,0.0005988427437841892
175.png,train,good,0.0015178376343101263
176.png,train,good,0.0005496203666552901
177.png,train,good,0.0009082379983738065
178.png,train,good,0.0007402379997074604
179.png,train,good,0.0005607818602584302
180.png,train,good,0.0005736704915761948
181.png,train,good,0.000593610224314034
182.png,train,good,0.0007462568464688957
183.png,train,good,0.0004363683401606977
184.png,train,good,0.0006394715746864676
185.png,train,good,0.0008433409966528416
186.png,train,good,0.0009558360325172544
187.png,train,good,0.0004992684116587043
188.png,train,good,0.0005995548563078046
189.png,train,good,0.0005980036221444607
190.png,train,good,0.0003578099131118506
191.png,train,good,0.0003901533200405538
192.png,train,good,0.0005851751193404198
193.png,train,good,0.0005754487938247621
194.png,train,good,0.0005304236547090113
195.png,train,good,0.0006074935081414878
196.png,train,good,0.00044141890248283744
197.png,train,good,0.0005958171095699072
198.png,train,good,0.0006242860108613968
199.png,train,good,0.0005812676972709596
200.png,train,good,0.0005875046481378376
001.png,test,good,0.0007412004051730037
002.png,test,good,0.0007511443691328168
003.png,test,good,0.0008243957418017089
004.png,test,bad,0.0012953239493072033
005.png,test,bad,0.00444658100605011
006.png,test,bad,0.0005468865856528282
007.png,test,good,0.0006528435624204576
008.png,test,bad,0.0009632020955905318
009.png,test,good,0.0006738160154782236
010.png,test,good,0.0011702356860041618
011.png,test,good,0.001273715402930975
012.png,test,good,0.0008594341343268752
013.png,test,good,0.0006653261370956898
014.png,test,bad,0.0018853500951081514
015.png,test,good,0.0006751517648808658
016.png,test,good,0.0006940631428733468
017.png,test,bad,0.003252180991694331
018.png,test,good,0.0007224981090985239
019.png,test,good,0.0010126250563189387
020.png,test,good,0.0011530413758009672
021.png,test,good,0.0007581677054986358
022.png,test,bad,0.0008419372024945915
023.png,test,good,0.0006532365805469453
024.png,test,good,0.0010452435817569494
025.png,test,good,0.0006679631769657135
026.png,test,bad,0.0009072066168300807
027.png,test,good,0.0007445744122378528
028.png,test,bad,0.0012085277121514082
029.png,test,bad,0.0008646459318697453
030.png,test,good,0.0008220486342906952
031.png,test,good,0.0007373387925326824
032.png,test,good,0.0007728931377641857
033.png,test,good,0.0008556108805350959
034.png,test,good,0.000905620283447206
035.png,test,good,0.0011688312515616417
036.png,test,bad,0.0009127523517236114
037.png,test,good,0.0006512468680739403
038.png,test,good,0.0006300835520960391
039.png,test,good,0.0007355845882557333
040.png,test,good,0.0006869115168228745
041.png,test,good,0.0004618289531208575
042.png,test,good,0.001082488102838397
043.png,test,good,0.00140272150747478
044.png,test,good,0.0008014728082343936
045.png,test,good,0.000868972041644156
046.png,test,bad,0.0009803534485399723
047.png,test,bad,0.0011669122613966465
048.png,test,good,0.0009698433568701148
049.png,test,good,0.000633007031865418
050.png,test,bad,0.0009609225089661777
051.png,test,good,0.0005183852044865489
052.png,test,good,0.0007690865313634276
053.png,test,bad,0.0017701543401926756
054.png,test,good,0.0007016921881586313
055.png,test,good,0.0008136373944580555
